Gene,Date,Value,Type
leader,2021-01-18,2.97988,dN/dS Internal
leader,2021-01-18,0.54906,dN/dS Leaves
leader,2021-01-18,0.00709127,Internal Branch Length
leader,2021-01-18,97,Unique Haplotypes
leader,2021-01-18,17625,Sequences
leader,2021-01-18,0.433333,Variable sites
leader,2021-01-18,0.00555556,Variable amino-acids
leader,2021-01-18,0,Negatively Selected
leader,2021-01-18,0.0166667,Positively Selected
nsp2,2021-01-18,0.778338,dN/dS Internal
nsp2,2021-01-18,1.13499,dN/dS Leaves
nsp2,2021-01-18,0.0431814,Internal Branch Length
nsp2,2021-01-18,378,Unique Haplotypes
nsp2,2021-01-18,17623,Sequences
nsp2,2021-01-18,0.410658,Variable sites
nsp2,2021-01-18,0.0689655,Variable amino-acids
nsp2,2021-01-18,0.0015674,Negatively Selected
nsp2,2021-01-18,0.0015674,Positively Selected
nsp3,2021-01-18,0.63745,dN/dS Internal
nsp3,2021-01-18,0.769204,dN/dS Leaves
nsp3,2021-01-18,0.0437072,Internal Branch Length
nsp3,2021-01-18,946,Unique Haplotypes
nsp3,2021-01-18,16440,Sequences
nsp3,2021-01-18,0.307455,Variable sites
nsp3,2021-01-18,0.0719794,Variable amino-acids
nsp3,2021-01-18,0.00359897,Negatively Selected
nsp3,2021-01-18,0.00205656,Positively Selected
nsp4,2021-01-18,0.324062,dN/dS Internal
nsp4,2021-01-18,0.471368,dN/dS Leaves
nsp4,2021-01-18,0.0132918,Internal Branch Length
nsp4,2021-01-18,154,Unique Haplotypes
nsp4,2021-01-18,16999,Sequences
nsp4,2021-01-18,0.256,Variable sites
nsp4,2021-01-18,0.02,Variable amino-acids
nsp4,2021-01-18,0,Negatively Selected
nsp4,2021-01-18,0,Positively Selected
3C,2021-01-18,0.479789,dN/dS Internal
3C,2021-01-18,0.435465,dN/dS Leaves
3C,2021-01-18,0.0110607,Internal Branch Length
3C,2021-01-18,82,Unique Haplotypes
3C,2021-01-18,17487,Sequences
3C,2021-01-18,0.212418,Variable sites
3C,2021-01-18,0.0228758,Variable amino-acids
3C,2021-01-18,0,Negatively Selected
