Gene,Date,Value,Type
leader,2021-01-18,0,dN/dS Internal
leader,2021-01-18,0.330403,dN/dS Leaves
leader,2021-01-18,0.00164223,Internal Branch Length
leader,2021-01-18,23,Unique Haplotypes
leader,2021-01-18,820,Sequences
leader,2021-01-18,0.116667,Variable sites
leader,2021-01-18,0,Variable amino-acids
leader,2021-01-18,0,Negatively Selected
leader,2021-01-18,0,Positively Selected
nsp2,2021-01-18,0.467557,dN/dS Internal
nsp2,2021-01-18,1.02148,dN/dS Leaves
nsp2,2021-01-18,0.0124065,Internal Branch Length
nsp2,2021-01-18,108,Unique Haplotypes
nsp2,2021-01-18,671,Sequences
nsp2,2021-01-18,0.164577,Variable sites
nsp2,2021-01-18,0.0203762,Variable amino-acids
nsp2,2021-01-18,0,Negatively Selected
nsp2,2021-01-18,0,Positively Selected
nsp3,2021-01-18,0.466806,dN/dS Internal
nsp3,2021-01-18,0.603127,dN/dS Leaves
nsp3,2021-01-18,0.00545313,Internal Branch Length
nsp3,2021-01-18,184,Unique Haplotypes
nsp3,2021-01-18,593,Sequences
nsp3,2021-01-18,0.108997,Variable sites
nsp3,2021-01-18,0.0113111,Variable amino-acids
nsp3,2021-01-18,0.000514139,Negatively Selected
nsp3,2021-01-18,0,Positively Selected
nsp4,2021-01-18,0.471595,dN/dS Internal
nsp4,2021-01-18,0.490254,dN/dS Leaves
nsp4,2021-01-18,0.00401341,Internal Branch Length
nsp4,2021-01-18,59,Unique Haplotypes
nsp4,2021-01-18,690,Sequences
nsp4,2021-01-18,0.106,Variable sites
nsp4,2021-01-18,0.006,Variable amino-acids
nsp4,2021-01-18,0,Negatively Selected
nsp4,2021-01-18,0,Positively Selected
3C,2021-01-18,0.245838,dN/dS Internal
3C,2021-01-18,0.28718,dN/dS Leaves
3C,2021-01-18,0.00556881,Internal Branch Length
3C,2021-01-18,38,Unique Haplotypes
3C,2021-01-18,770,Sequences
3C,2021-01-18,0.104575,Variable sites
3C,2021-01-18,0.00653595,Variable amino-acids
3C,2021-01-18,0,Negatively Selected
